date,close_price
2020-06-09,42.63
2020-06-10,42.78
2020-06-11,39.83
2020-06-12,41.79
2020-06-15,39.24
2020-06-16,40.02
2020-06-17,39.63
2020-06-18,39.83
2020-06-19,40.76
2020-06-22,40.61
2020-06-23,40.02
2020-06-24,39.63
2020-06-25,39.34
2020-06-26,39.24
2020-06-29,37.86
2020-06-30,37.27
2020-07-01,38.55
2020-07-02,38.35
2020-07-03,38.45
2020-07-06,39.43
2020-07-07,39.93
2020-07-08,39.88
2020-07-09,40.91
2020-07-10,40.81
2020-07-13,40.61
2020-07-14,40.56
2020-07-15,40.66
2020-07-16,40.66
2020-07-17,40.91
2020-07-20,40.12
2020-07-21,40.12
2020-07-22,39.34
2020-07-23,39.19
2020-07-24,37.57
2020-07-27,34.96
2020-07-28,37.22
2020-07-29,36.34
2020-07-30,36.58
2020-07-31,36.04
2020-08-03,36.58
2020-08-04,37.27
2020-08-05,38.11
2020-08-06,37.61
2020-08-07,37.47
2020-08-10,37.47
2020-08-11,37.86
2020-08-12,38.55
2020-08-13,38.99
2020-08-14,38.35
2020-08-17,38.06
2020-08-18,37.76
2020-08-19,37.96
2020-08-20,37.61
2020-08-21,38.3
2020-08-24,38.99
2020-08-25,38.84
2020-08-26,38.7
2020-08-27,38.45
2020-08-28,39.88
2020-08-31,40.27
2020-09-01,40.71
2020-09-03,41.5
2020-09-04,41.4
2020-09-07,39.93
2020-09-08,40.17
2020-09-09,40.12
2020-09-10,39.83
2020-09-11,39.78
2020-09-14,39.83
2020-09-15,40.07
2020-09-16,39.88
2020-09-17,39.83
2020-09-18,40.32
2020-09-21,40.12
2020-09-22,40.02
2020-09-23,40.71
2020-09-24,40.22
2020-09-25,40.12
2020-09-28,40.61
2020-09-29,39.97
2020-09-30,40.12
2020-10-01,40.27
2020-10-02,39.97
2020-10-05,39.73
2020-10-06,39.78
2020-10-07,39.78
2020-10-08,39.73
2020-10-09,39.68
2020-10-12,40.27
2020-10-13,40.56
2020-10-14,42.19
2020-10-15,41.55
2020-10-16,41.5
2020-10-19,41.2
2020-10-20,41.3
2020-10-21,41.65
2020-10-22,42.24
2020-10-23,42.09
2020-10-26,40.32
2020-10-27,40.02
2020-10-28,38.65
2020-10-29,38.01
2020-10-30,37.86
2020-11-02,38.25
2020-11-03,38.75
2020-11-04,39.09
2020-11-05,38.4
2020-11-06,38.4
2020-11-09,38.6
2020-11-10,38.75
2020-11-11,38.75
2020-11-12,38.94
2020-11-13,39.63
2020-11-16,39.24
2020-11-17,39.63
2020-11-18,39.38
2020-11-19,39.73
2020-11-20,40.52
2020-11-23,40.42
2020-11-24,40.02
2020-11-25,40.61
2020-11-26,41.89
2020-11-27,41.74
2020-11-30,41.01
2020-12-01,41.01
2020-12-02,40.81
2020-12-03,40.91
2020-12-04,40.96
2020-12-07,42.29
2020-12-08,41.99
2020-12-09,43.07
2020-12-10,43.22
2020-12-11,45.04
2020-12-14,45.73
2020-12-15,45.33
2020-12-16,46.61
2020-12-17,45.63
2020-12-18,46.22
2020-12-21,46.66
2020-12-22,46.07
2020-12-23,45.83
2020-12-24,44.74
2020-12-25,45.83
2020-12-28,46.66
2020-12-29,47.55
2020-12-30,47.25
2020-12-31,47.9
